Monthly rainfall(in mm) trends for Brahamaputra from 01-Jan-1994 to 31-Aug-2024

Dates,NORMAL (mm) ,ACTUAL (mm) 
"Jan-1994",20.37,35.21
"Feb-1994",21.08,51.97
"Mar-1994",29.34,216.68
"Apr-1994",39.36,196.55
"May-1994",67.28,297.76
"Jun-1994",173.32,393.65
"Jul-1994",310.23,269.77
"Aug-1994",280.24,255.44
"Sep-1994",192,190.97
"Oct-1994",85.79,131.81
"Nov-1994",30.7,15.55
"Dec-1994",16.66,3.36
"Jan-1995",20.37,15.31
"Feb-1995",21.08,63.57
"Mar-1995",29.34,63.29
"Apr-1995",39.36,191.74
"May-1995",67.28,330.99
"Jun-1995",173.32,551.77
"Jul-1995",310.23,492.08
"Aug-1995",280.24,383.96
"Sep-1995",192,393.32
"Oct-1995",85.79,72.39
"Nov-1995",30.7,49.65
"Dec-1995",16.66,16.57
"Jan-1996",20.37,28.17
"Feb-1996",21.08,37.3
"Mar-1996",29.34,145.83
"Apr-1996",39.36,138.11
"May-1996",67.28,410.96
"Jun-1996",173.32,250.75
"Jul-1996",310.23,476.27
"Aug-1996",280.24,349.32
"Sep-1996",192,174.39
"Oct-1996",85.79,179.11
"Nov-1996",30.7,6.13
"Dec-1996",16.66,0.36
"Jan-1997",20.37,19.2
"Feb-1997",21.08,57.04
"Mar-1997",29.34,129.87
"Apr-1997",39.36,103.49
"May-1997",67.28,199.92
"Jun-1997",173.32,450.65
"Jul-1997",310.23,386.3
"Aug-1997",280.24,262.07
"Sep-1997",192,327.15
"Oct-1997",85.79,37.62
"Nov-1997",30.7,29.92
"Dec-1997",16.66,31.71
"Jan-1998",20.37,17.97
"Feb-1998",21.08,54.44
"Mar-1998",29.34,145.75
"Apr-1998",39.36,144.49
"May-1998",67.28,255.71
"Jun-1998",173.32,601.02
"Jul-1998",310.23,527.29
"Aug-1998",280.24,513.01
"Sep-1998",192,208.15
"Oct-1998",85.79,149.29
"Nov-1998",30.7,28.8
"Dec-1998",16.66,1.33
"Jan-1999",20.37,3.47
"Feb-1999",21.08,0.95
"Mar-1999",29.34,25.1
"Apr-1999",39.36,209.04
"May-1999",67.28,328.75
"Jun-1999",173.32,358.69
"Jul-1999",310.23,474.96
"Aug-1999",280.24,415.65
"Sep-1999",192,216.13
"Oct-1999",85.79,210.9
"Nov-1999",30.7,7.11
"Dec-1999",16.66,1.65
"Jan-2000",20.37,25.75
"Feb-2000",21.08,18.95
"Mar-2000",29.34,61.56
"Apr-2000",39.36,222.93
"May-2000",67.28,244.75
"Jun-2000",173.32,417.82
"Jul-2000",310.23,336.35
